filename,label,H_Q1_B1,H_Q1_B2,H_Q1_B3,H_Q1_B4,H_Q1_B5,H_Q1_B6,H_Q1_B7,H_Q1_B8,S_Q1_B1,S_Q1_B2,S_Q1_B3,S_Q1_B4,S_Q1_B5,S_Q1_B6,S_Q1_B7,S_Q1_B8,V_Q1_B1,V_Q1_B2,V_Q1_B3,V_Q1_B4,V_Q1_B5,V_Q1_B6,V_Q1_B7,V_Q1_B8,H_Q2_B1,H_Q2_B2,H_Q2_B3,H_Q2_B4,H_Q2_B5,H_Q2_B6,H_Q2_B7,H_Q2_B8,S_Q2_B1,S_Q2_B2,S_Q2_B3,S_Q2_B4,S_Q2_B5,S_Q2_B6,S_Q2_B7,S_Q2_B8,V_Q2_B1,V_Q2_B2,V_Q2_B3,V_Q2_B4,V_Q2_B5,V_Q2_B6,V_Q2_B7,V_Q2_B8,H_Q3_B1,H_Q3_B2,H_Q3_B3,H_Q3_B4,H_Q3_B5,H_Q3_B6,H_Q3_B7,H_Q3_B8,S_Q3_B1,S_Q3_B2,S_Q3_B3,S_Q3_B4,S_Q3_B5,S_Q3_B6,S_Q3_B7,S_Q3_B8,V_Q3_B1,V_Q3_B2,V_Q3_B3,V_Q3_B4,V_Q3_B5,V_Q3_B6,V_Q3_B7,V_Q3_B8,H_Q4_B1,H_Q4_B2,H_Q4_B3,H_Q4_B4,H_Q4_B5,H_Q4_B6,H_Q4_B7,H_Q4_B8,S_Q4_B1,S_Q4_B2,S_Q4_B3,S_Q4_B4,S_Q4_B5,S_Q4_B6,S_Q4_B7,S_Q4_B8,V_Q4_B1,V_Q4_B2,V_Q4_B3,V_Q4_B4,V_Q4_B5,V_Q4_B6,V_Q4_B7,V_Q4_B8,contrast_d1_a0,contrast_d1_a45,contrast_d1_a90,contrast_d1_a135,contrast_d2_a0,contrast_d2_a45,contrast_d2_a90,contrast_d2_a135,contrast_d3_a0,contrast_d3_a45,contrast_d3_a90,contrast_d3_a135,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,homogeneity_d3_a0,homogeneity_d3_a45,homogeneity_d3_a90,homogeneity_d3_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,energy_d3_a0,energy_d3_a45,energy_d3_a90,energy_d3_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,correlation_d3_a0,correlation_d3_a45,correlation_d3_a90,correlation_d3_a135
Grape Esca (Black_Measles) (1).JPG,Grape Esca (Black_Measles),0.9514488577842712,0.29635292291641235,0.08318678289651871,0.0,0.0,0.0,0.0,0.0,0.965122401714325,0.03552597761154175,0.09473594278097153,0.05328896641731262,0.18947188556194305,0.13618291914463043,0.02960498258471489,0.011841992847621441,0.95918869972229,0.02942296676337719,0.11180727183818817,0.194191575050354,0.16476860642433167,0.041192151606082916,0.005884593352675438,0.0,0.9333336353302002,0.3294118642807007,0.14274513721466064,0.0,0.0,0.0,0.0,0.0,0.9494541883468628,0.18208709359169006,0.16908088326454163,0.1170559972524643,0.1170559972524643,0.09104354679584503,0.03251555562019348,0.0065031107515096664,0.9525723457336426,0.05046740919351578,0.056775834411382675,0.15771065652370453,0.15140223503112793,0.18925277888774872,0.056775834411382675,0.0,0.7965124249458313,0.18381056189537048,0.5759397149085999,0.006127018481492996,0.006127018481492996,0.0,0.0,0.0,0.8903542160987854,0.11043152958154678,0.10352955758571625,0.19325517117977142,0.37270641326904297,0.08972562104463577,0.006901970598846674,0.0,0.8906980752944946,0.0392955020070076,0.09168950468301773,0.3864057660102844,0.20957601070404053,0.0589432530105114,0.0,0.0,0.8265512585639954,0.30056411027908325,0.47589313983917236,0.0,0.0,0.0,0.0,0.0,0.7558227777481079,0.13003402948379517,0.15441541373729706,0.21943242847919464,0.5201361179351807,0.26006805896759033,0.04063563421368599,0.0,0.7839822173118591,0.0391991101205349,0.14111679792404175,0.4547096788883209,0.3606318235397339,0.1567964404821396,0.0391991101205349,0.03135928884148598,18.280241012573242,24.474506378173828,12.352822303771973,23.192508697509766,36.66666793823242,24.474506378173828,27.672916412353516,23.192508697509766,51.11422348022461,42.11333465576172,40.16918182373047,44.2488899230957,0.5930044054985046,0.561203122138977,0.6188631057739258,0.5645082592964172,0.5181184411048889,0.561203122138977,0.5542051792144775,0.5645082592964172,0.4511876404285431,0.4727526009082794,0.5049497485160828,0.459158331155777,0.46846699714660645,0.4452004134654999,0.4776056110858917,0.44117027521133423,0.4178122282028198,0.4452004134654999,0.43534937500953674,0.44117027521133423,0.36428073048591614,0.3684443533420563,0.40002837777137756,0.3620602786540985,0.8191730380058289,0.7594929337501526,0.8778066635131836,0.7720909118652344,0.6397516131401062,0.7594929337501526,0.7283383011817932,0.7720909118652344,0.5004820823669434,0.5901800990104675,0.6089698076248169,0.5693982839584351
Grape Esca (Black_Measles) (10).JPG,Grape Esca (Black_Measles),0.9216582775115967,0.35749170184135437,0.15081681311130524,0.0,0.0,0.0,0.0,0.0,0.9251689910888672,0.08778975903987885,0.12155504524707794,0.16207340359687805,0.276875376701355,0.13506115972995758,0.020259175449609756,0.0,0.940955400466919,0.06534412503242493,0.0849473625421524,0.22870443761348724,0.19603237509727478,0.09801618754863739,0.05227530002593994,0.006534412503242493,0.9538322687149048,0.2996331751346588,0.01997554488480091,0.0,0.0,0.0,0.004993886221200228,0.0,0.9597197771072388,0.1439579725265503,0.02399299480021,0.041987739503383636,0.1739492118358612,0.15595446527004242,0.03598949313163757,0.0,0.9664002656936646,0.03472096472978592,0.06944192945957184,0.12731021642684937,0.1967521458864212,0.06944192945957184,0.01736048236489296,0.0,0.7981590628623962,0.5942498445510864,0.0990416407585144,0.0,0.0,0.0,0.0,0.0,0.8663834929466248,0.1338956356048584,0.1260194182395935,0.10239078104496002,0.19690534472465515,0.34655338525772095,0.21265776455402374,0.031504854559898376,0.8410956263542175,0.03594425693154335,0.3522537350654602,0.366631418466568,0.17253243923187256,0.05032195895910263,0.02156655490398407,0.0,0.9143036007881165,0.39419078826904297,0.09307282418012619,0.0,0.0,0.0,0.0,0.0,0.8666169047355652,0.34517791867256165,0.06609790027141571,0.044065266847610474,0.1615726351737976,0.30111265182495117,0.0807863175868988,0.014688421972095966,0.9088565707206726,0.1526879072189331,0.2617506980895996,0.1963130235671997,0.16722960770130157,0.10179193317890167,0.07270852476358414,0.0,20.891128540039062,32.25078201293945,19.501008987426758,29.8491153717041,41.38333511352539,32.25078201293945,38.68437576293945,29.8491153717041,53.657325744628906,55.79222106933594,50.1056022644043,48.99222183227539,0.5968924164772034,0.5394079089164734,0.5906664729118347,0.5428288578987122,0.5027940273284912,0.5394079089164734,0.510402500629425,0.5428288578987122,0.4525992274284363,0.44455671310424805,0.4594356119632721,0.4664096534252167,0.46222808957099915,0.4323868453502655,0.4711690843105316,0.4406496286392212,0.40914103388786316,0.4323868453502655,0.42556002736091614,0.4406496286392212,0.36377593874931335,0.3506510555744171,0.3826531171798706,0.36145538091659546,0.7861721515655518,0.6725067496299744,0.8002899885177612,0.696894645690918,0.5800505876541138,0.6725067496299744,0.6071551442146301,0.696894645690918,0.46010246872901917,0.440809041261673,0.4948864281177521,0.5089636445045471
Grape Esca (Black_Measles) (100).JPG,Grape Esca (Black_Measles),0.9867465496063232,0.09962344914674759,0.12808729708194733,0.0,0.0,0.0,0.0,0.0,0.9937805533409119,0.032969020307064056,0.02354930154979229,0.07064790278673172,0.07535776495933533,0.009419720619916916,0.0,0.0,0.9932166337966919,0.018739936873316765,0.018739936873316765,0.07495974749326706,0.08432971686124802,0.009369968436658382,0.0,0.0,0.7488468885421753,0.17800457775592804,0.6383612751960754,0.00613808911293745,0.0,0.0,0.0,0.0,0.8903923630714417,0.23354554176330566,0.21894894540309906,0.21165063977241516,0.23354554176330566,0.07298298180103302,0.007298298180103302,0.0,0.8817258477210999,0.035269033163785934,0.20456039905548096,0.3738517761230469,0.16929136216640472,0.09875329583883286,0.035269033163785934,0.007053806912153959,0.613469660282135,0.43342965841293335,0.6601467132568359,0.0,0.0,0.0,0.0,0.0,0.6768109798431396,0.11406926810741425,0.12167388200759888,0.5703462958335876,0.4334632158279419,0.03041847050189972,0.0,0.0,0.689363420009613,0.05421959608793259,0.4027741551399231,0.5576872825622559,0.20913273096084595,0.06971091032028198,0.0,0.0,0.1692359298467636,0.0945730209350586,0.9805729389190674,0.029865164309740067,0.0,0.0,0.0,0.0,0.24210487306118011,0.0907893255352974,0.21940754354000092,0.7111830711364746,0.6128279566764832,0.06052621826529503,0.0,0.0,0.2653648257255554,0.053072962909936905,0.636875569820404,0.6672029495239258,0.27294665575027466,0.03790925815701485,0.007581851910799742,0.0,11.652217864990234,17.478668212890625,11.636088371276855,15.829344749450684,24.106250762939453,17.478668212890625,23.983333587646484,15.829344749450684,33.125,30.420000076293945,33.24245834350586,28.893333435058594,0.5688296556472778,0.5365845561027527,0.5771018862724304,0.5618348121643066,0.5147835612297058,0.5365845561027527,0.5079459547996521,0.5618348121643066,0.4663267135620117,0.45359885692596436,0.46762585639953613,0.483885794878006,0.4036017656326294,0.3832799792289734,0.40257129073143005,0.38661324977874756,0.372119277715683,0.3832799792289734,0.3712237477302551,0.38661324977874756,0.3421900272369385,0.33197036385536194,0.3402511477470398,0.34285566210746765,0.8558054566383362,0.7839672565460205,0.8555384874343872,0.8043587803840637,0.7026440501213074,0.7839672565460205,0.7030961513519287,0.8043587803840637,0.5925707817077637,0.6252263784408569,0.5900419354438782,0.6446017026901245
Grape Esca (Black_Measles) (1000).JPG,Grape Esca (Black_Measles),0.9662521481513977,0.22614412009716034,0.1233513355255127,0.0,0.0,0.0,0.0,0.0,0.9632924199104309,0.0619661808013916,0.10139919817447662,0.22533155977725983,0.08449933677911758,0.005633288994431496,0.0,0.0,0.9792315363883972,0.04979143291711807,0.10511524975299835,0.1438419222831726,0.0663885772228241,0.044259052723646164,0.022129526361823082,0.0055323815904557705,0.9709654450416565,0.09055636078119278,0.2213599979877472,0.0,0.005030909087508917,0.0,0.0,0.0,0.9621195793151855,0.0659739151597023,0.06047608703374863,0.24740217626094818,0.07147174328565598,0.0,0.0,0.0,0.9811049699783325,0.049055248498916626,0.12536340951919556,0.1144622415304184,0.06540699303150177,0.038154080510139465,0.021802332252264023,0.0,0.82816082239151,0.11664237082004547,0.5482191443443298,0.0,0.0,0.0,0.0,0.0,0.9225755333900452,0.10816402733325958,0.27359136939048767,0.23541583120822906,0.08271367102861404,0.006362590007483959,0.0,0.0,0.9223735332489014,0.031161269173026085,0.267986923456192,0.2617546617984772,0.08725155144929886,0.012464507482945919,0.012464507482945919,0.0,0.837185800075531,0.10392650961875916,0.5369536280632019,0.0,0.0,0.0,0.0,0.0,0.9354143738746643,0.1718108057975769,0.18453752994537354,0.2163543403148651,0.12090389430522919,0.0,0.0,0.0,0.9324897527694702,0.04322800040245056,0.25319257378578186,0.24084171652793884,0.0741051435470581,0.030877143144607544,0.006175428628921509,0.0,8.679435729980469,12.62643051147461,10.181451797485352,16.57648277282715,19.433332443237305,12.62643051147461,23.837499618530273,16.57648277282715,29.70689582824707,27.81999969482422,33.795257568359375,33.488887786865234,0.7117757797241211,0.6699633598327637,0.6764746904373169,0.6486201882362366,0.6319688558578491,0.6699633598327637,0.6198524832725525,0.6486201882362366,0.584678053855896,0.5815363526344299,0.5805732011795044,0.5686408877372742,0.5868351459503174,0.565129816532135,0.5857145190238953,0.560932457447052,0.5460126996040344,0.565129816532135,0.5470401644706726,0.560932457447052,0.5039366483688354,0.4985107481479645,0.5059218406677246,0.4928244352340698,0.8802212476730347,0.8284841179847717,0.8594929575920105,0.7748271226882935,0.7361533641815186,0.8284841179847717,0.6763579845428467,0.7748271226882935,0.603063702583313,0.6333032846450806,0.5484359860420227,0.5585814118385315
Grape Esca (Black_Measles) (1001).JPG,Grape Esca (Black_Measles),0.9695733189582825,0.09089750051498413,0.22724375128746033,0.0,0.0050498610362410545,0.0,0.0,0.0,0.9601480960845947,0.06583872437477112,0.06035216525197029,0.25786834955215454,0.06035216525197029,0.0,0.0,0.0,0.9806680083274841,0.04903339967131615,0.1253075748682022,0.11985941976308823,0.0653778687119484,0.0326889343559742,0.021792622283101082,0.0,0.9657166600227356,0.23115557432174683,0.11814618855714798,0.0,0.0,0.0,0.0,0.0,0.961676299571991,0.05623837932944298,0.11247675865888596,0.23057734966278076,0.07873372733592987,0.0,0.0,0.0,0.9788721203804016,0.04977315664291382,0.10507666319608688,0.14931946992874146,0.06083386018872261,0.038712456822395325,0.027651753276586533,0.0055303508415818214,0.8372572660446167,0.09175422042608261,0.5390560626983643,0.0,0.0,0.0,0.0,0.0,0.9383265376091003,0.15850110352039337,0.19020132720470428,0.21556149423122406,0.10778074711561203,0.01268008816987276,0.0,0.0,0.9314955472946167,0.04318191111087799,0.2529226243495941,0.2467537820339203,0.0678572878241539,0.030844222754240036,0.006168844643980265,0.0,0.82816082239151,0.11664237082004547,0.5482191443443298,0.0,0.0,0.0,0.0,0.0,0.9196391105651855,0.10781975835561752,0.2663782238960266,0.260035902261734,0.06342338770627975,0.006342338863760233,0.0,0.0,0.9223735332489014,0.031161269173026085,0.267986923456192,0.2617546617984772,0.08725155144929886,0.012464507482945919,0.012464507482945919,0.0,8.665322303771973,16.566076278686523,10.112903594970703,12.601456642150879,19.272916793823242,16.566076278686523,23.77916717529297,12.601456642150879,29.484912872314453,33.48222351074219,33.75,27.733333587646484,0.7121646404266357,0.6465682983398438,0.678232729434967,0.6720744967460632,0.6334640979766846,0.6465682983398438,0.6201167106628418,0.6720744967460632,0.5815443992614746,0.569423496723175,0.582200825214386,0.5782809853553772,0.5878044962882996,0.5609372854232788,0.5867286324501038,0.5661707520484924,0.5470718741416931,0.5609372854232788,0.5481112003326416,0.5661707520484924,0.5049604177474976,0.4950183928012848,0.5069943070411682,0.49955782294273376,0.8797798752784729,0.7737764716148376,0.8596965670585632,0.8279166221618652,0.7369455099105835,0.7737764716148376,0.6754400134086609,0.8279166221618652,0.6039533615112305,0.5563543438911438,0.5466639995574951,0.6325281858444214
Grape Esca (Black_Measles) (1002).JPG,Grape Esca (Black_Measles),0.771135687828064,0.04536092281341553,0.6350529193878174,0.0,0.0,0.0,0.0,0.0,0.8492302894592285,0.1029370054602623,0.46321651339530945,0.23160825669765472,0.0,0.0,0.0,0.0,0.896784782409668,0.11047349125146866,0.37041112780570984,0.20795010030269623,0.04548908397555351,0.032492201775312424,0.0,0.0,0.8641172647476196,0.07906955480575562,0.49700862169265747,0.0,0.005647825077176094,0.0,0.0,0.0,0.9182809591293335,0.19854722917079926,0.3164346516132355,0.13029661774635315,0.006204600911587477,0.012409201823174953,0.006204600911587477,0.0,0.9481304287910461,0.06279009580612183,0.14441721141338348,0.22604434192180634,0.14441721141338348,0.06279009580612183,0.01883702725172043,0.0,0.47800666093826294,0.05813594534993172,0.8268223404884338,0.2906797230243683,0.0,0.0,0.0,0.0,0.5924463272094727,0.562824010848999,0.5406072735786438,0.19995063543319702,0.0,0.0,0.0,0.0,0.6723228096961975,0.09604611992835999,0.28813835978507996,0.5522651672363281,0.38418447971343994,0.05602690204977989,0.0,0.0,0.6241003274917603,0.09332341700792313,0.7757508754730225,0.0,0.0,0.0,0.0,0.0,0.7348790168762207,0.15109661221504211,0.6249905824661255,0.21290886402130127,0.03434013947844505,0.0,0.0,0.0,0.8016787171363831,0.0858941525220871,0.30062952637672424,0.4867335259914398,0.15031476318836212,0.007157845888286829,0.0,0.0,9.448588371276855,18.490114212036133,13.854838371276855,16.40894889831543,21.953125,18.490114212036133,28.113542556762695,16.40894889831543,32.09590530395508,35.3577766418457,39.059268951416016,34.106666564941406,0.6114723682403564,0.53856360912323,0.5598414540290833,0.5337960124015808,0.5230417847633362,0.53856360912323,0.49265506863594055,0.5337960124015808,0.4662313759326935,0.43246081471443176,0.45285674929618835,0.45039045810699463,0.39932844042778015,0.36634498834609985,0.3965218961238861,0.3670639991760254,0.35650041699409485,0.36634498834609985,0.3456387519836426,0.3670639991760254,0.3270815908908844,0.29334700107574463,0.30509108304977417,0.29567980766296387,0.8781718611717224,0.7615228891372681,0.8213157057762146,0.788364827632904,0.7173227071762085,0.7615228891372681,0.6374139189720154,0.788364827632904,0.588030993938446,0.5418024659156799,0.4947810769081116,0.5580154657363892
Grape Esca (Black_Measles) (1003).JPG,Grape Esca (Black_Measles),0.8520066142082214,0.06770913302898407,0.5191034078598022,0.0,0.005642428062856197,0.0,0.0,0.0,0.9122505784034729,0.21244192123413086,0.33115944266319275,0.11246924847364426,0.01249658316373825,0.01249658316373825,0.006248291581869125,0.0,0.9470481872558594,0.06271842122077942,0.13798053562641144,0.23833000659942627,0.13798053562641144,0.06271842122077942,0.018815526738762856,0.0,0.7685456275939941,0.03955749422311783,0.6385709643363953,0.0,0.0,0.0,0.0,0.0,0.8517370223999023,0.10324084758758545,0.45813125371932983,0.23229190707206726,0.006452552974224091,0.0,0.0,0.0,0.8953868746757507,0.11678959429264069,0.37632203102111816,0.20113763213157654,0.03892986476421356,0.032441552728414536,0.0,0.0,0.6269220113754272,0.09374535083770752,0.7733991146087646,0.00585908442735672,0.0,0.0,0.0,0.0,0.7284138202667236,0.14976732432842255,0.6399149298667908,0.19061295688152313,0.03403802961111069,0.0,0.0,0.0,0.8005720376968384,0.08577557653188705,0.2930665612220764,0.4932095408439636,0.1501072496175766,0.007147964555770159,0.0,0.0,0.4871979057788849,0.058463748544454575,0.8184924721717834,0.29881471395492554,0.0,0.0,0.0,0.0,0.5981485247612,0.553841233253479,0.5464566946029663,0.19199830293655396,0.0,0.0,0.0,0.0,0.6731426119804382,0.09616322815418243,0.28047609329223633,0.5689657926559448,0.36061209440231323,0.07212242484092712,0.0,0.0,9.494959831237793,16.4484920501709,13.893145561218262,18.594173431396484,22.03645896911621,16.4484920501709,28.24479103088379,18.594173431396484,32.22844696044922,34.253334045410156,39.24030303955078,35.48222351074219,0.6117432117462158,0.5319306254386902,0.5610432028770447,0.5361841917037964,0.5220025181770325,0.5319306254386902,0.4953973591327667,0.5361841917037964,0.463032066822052,0.4504898488521576,0.4516890347003937,0.4306230843067169,0.3992488980293274,0.3669481873512268,0.3964552581310272,0.3660855293273926,0.35634058713912964,0.3669481873512268,0.3455429971218109,0.3660855293273926,0.3269191384315491,0.2957131862640381,0.3049987852573395,0.2932470440864563,0.877845048904419,0.7883353233337402,0.8212182521820068,0.7607239484786987,0.7168925404548645,0.7883353233337402,0.6365464329719543,0.7607239484786987,0.5873022675514221,0.5571727752685547,0.4936222732067108,0.5412856936454773
Grape Esca (Black_Measles) (1004).JPG,Grape Esca (Black_Measles),0.9326725602149963,0.28654396533966064,0.21912185847759247,0.0,0.0,0.0,0.0,0.0,0.9538478851318359,0.17618846893310547,0.18833938241004944,0.12150928378105164,0.09113196283578873,0.024301856756210327,0.0,0.0,0.954683780670166,0.05403870344161987,0.08406020700931549,0.22215911746025085,0.16211611032485962,0.05403870344161987,0.006004300434142351,0.0,0.9202169179916382,0.17041054368019104,0.3521817922592163,0.0,0.0,0.0,0.0,0.01136070303618908,0.9443766474723816,0.10424937307834625,0.19010178744792938,0.22689568996429443,0.09811705350875854,0.006132315844297409,0.0,0.0,0.9605200290679932,0.05892761051654816,0.07071313261985779,0.20035387575626373,0.16499730944633484,0.017678283154964447,0.035356566309928894,0.0,0.8235536217689514,0.4928843677043915,0.2807569205760956,0.0,0.0,0.0,0.0,0.0,0.8599828481674194,0.2093871384859085,0.2467776983976364,0.3290369212627411,0.2093871384859085,0.05982489511370659,0.0,0.0,0.8673890829086304,0.06451654434204102,0.2293921560049057,0.35842522978782654,0.24372915923595428,0.050179533660411835,0.021505514159798622,0.0,0.8585121035575867,0.25572702288627625,0.4444778859615326,0.0,0.0,0.0,0.0,0.0,0.8787617683410645,0.03793216496706009,0.22127094864845276,0.4172537922859192,0.056898243725299835,0.006322027184069157,0.0,0.0,0.8936651945114136,0.018880251795053482,0.1006946712732315,0.39648526906967163,0.18250909447669983,0.018880251795053482,0.0,0.0,14.463709831237793,17.005203247070312,9.512096405029297,19.658689498901367,28.61458396911621,17.005203247070312,20.110416412353516,19.658689498901367,42.57327651977539,33.95777893066406,27.571121215820312,36.655555725097656,0.6257928609848022,0.6017630696296692,0.6452754735946655,0.5957780480384827,0.5554565787315369,0.6017630696296692,0.5876216292381287,0.5957780480384827,0.49044305086135864,0.5146297812461853,0.548243522644043,0.5093278288841248,0.5055973529815674,0.48149585723876953,0.5116689801216125,0.48038870096206665,0.45713740587234497,0.48149585723876953,0.4747617840766907,0.48038870096206665,0.40584391355514526,0.40942370891571045,0.44077491760253906,0.409307599067688,0.843325138092041,0.8175457715988159,0.8969623446464539,0.7890757322311401,0.6930749416351318,0.8175457715988159,0.7844257354736328,0.7890757322311401,0.5473411679267883,0.6415739059448242,0.7076609134674072,0.613098680973053
Grape Esca (Black_Measles) (1005).JPG,Grape Esca (Black_Measles),0.9137628674507141,0.18390196561813354,0.36205700039863586,0.0,0.0,0.0,0.0,0.011493872851133347,0.9458255171775818,0.10373570024967194,0.17696090042591095,0.2318798005580902,0.09763360023498535,0.0061021000146865845,0.0,0.0,0.9612880945205688,0.0589747317135334,0.06487220525741577,0.20641155540943146,0.15333430469036102,0.0294873658567667,0.03538483753800392,0.0,0.9329965710639954,0.2810230851173401,0.22481845319271088,0.0,0.0,0.0,0.0,0.0,0.9526017904281616,0.1831926554441452,0.1831926554441452,0.12823486328125,0.0915963277220726,0.02442568726837635,0.0,0.0,0.9553384184837341,0.054075758904218674,0.08411785215139389,0.22831988334655762,0.14420202374458313,0.0660925954580307,0.006008417811244726,0.0,0.8594685196876526,0.2621074318885803,0.43887755274772644,0.0,0.0,0.0,0.0,0.0,0.8671188354492188,0.05026775971055031,0.18222062289714813,0.4586932957172394,0.04398429021239281,0.0062834699638187885,0.0,0.0,0.8887506723403931,0.025035230442881584,0.09388211369514465,0.4193401038646698,0.1564701944589615,0.0187764223664999,0.0,0.0,0.8314165472984314,0.4839588701725006,0.2730024456977844,0.0,0.0,0.0,0.0,0.0,0.8561611175537109,0.19356687366962433,0.2531259059906006,0.3275747001171112,0.23823614418506622,0.03722439706325531,0.0,0.0,0.8690429925918579,0.07182173430919647,0.22264736890792847,0.3519265055656433,0.25137606263160706,0.05027521401643753,0.02154652029275894,0.0,14.395161628723145,19.762746810913086,9.457661628723145,16.7679500579834,28.568750381469727,19.762746810913086,19.883333206176758,16.7679500579834,42.504310607910156,36.54222106933594,27.23168182373047,33.704444885253906,0.6247375011444092,0.598406970500946,0.6496416926383972,0.6021832227706909,0.5516489148139954,0.598406970500946,0.5887266397476196,0.6021832227706909,0.48751166462898254,0.5112485885620117,0.5506846904754639,0.5182008743286133,0.5046020150184631,0.479408323764801,0.5117260813713074,0.48058927059173584,0.4562309682369232,0.479408323764801,0.4737602472305298,0.48058927059173584,0.4049617052078247,0.4083133041858673,0.43982285261154175,0.4084402620792389,0.8429827690124512,0.7864835262298584,0.8968392610549927,0.8188392519950867,0.691433846950531,0.7864835262298584,0.7853769659996033,0.8188392519950867,0.5449281930923462,0.6116095781326294,0.7092188596725464,0.6417710185050964
Grape Esca (Black_Measles) (1006).JPG,Grape Esca (Black_Measles),0.9642614126205444,0.13478922843933105,0.2281048446893692,0.0,0.0,0.0,0.0,0.0,0.9628955125808716,0.23936384916305542,0.1142418384552002,0.04352070018649101,0.021760350093245506,0.010880175046622753,0.0,0.0,0.9789320230484009,0.04977620393037796,0.060837581753730774,0.12167516350746155,0.12720584869384766,0.06636827439069748,0.011061378754675388,0.0,0.8648534417152405,0.05543932318687439,0.4989539086818695,0.0,0.0,0.0,0.0,0.0,0.9385173320770264,0.0938517302274704,0.28155517578125,0.17597199976444244,0.0117314662784338,0.0,0.0,0.0,0.95705646276474,0.0945240929722786,0.08861633390188217,0.2422179877758026,0.08270858228206635,0.04135429114103317,0.005907755810767412,0.0,0.7724103927612305,0.16551651060581207,0.613024115562439,0.006130241323262453,0.012260482646524906,0.0,0.0,0.0,0.8236852884292603,0.2835637927055359,0.46585479378700256,0.15528492629528046,0.0,0.0,0.0,0.0,0.8635261058807373,0.06799417734146118,0.10199127346277237,0.42156392335891724,0.2447790503501892,0.04079650714993477,0.0,0.0,0.6307438015937805,0.011163607239723206,0.775870680809021,0.005581803619861603,0.005581803619861603,0.0,0.0,0.0,0.8240271806716919,0.2583813965320587,0.4050303101539612,0.3002810776233673,0.0,0.0,0.0,0.0,0.8576439023017883,0.04841538146138191,0.15216262638568878,0.4357384145259857,0.21441097557544708,0.05533186346292496,0.00691648293286562,0.0,12.010080337524414,15.396462440490723,9.151209831237793,17.038501739501953,26.299999237060547,15.396462440490723,21.0625,17.038501739501953,39.4568977355957,32.13333511352539,30.67456817626953,33.37333297729492,0.6278315782546997,0.6032641530036926,0.652592658996582,0.5967951416969299,0.5551323890686035,0.6032641530036926,0.5793783664703369,0.5967951416969299,0.48673227429389954,0.5148917436599731,0.5309993028640747,0.5090945959091187,0.5096696019172668,0.4836146831512451,0.5148511528968811,0.48257914185523987,0.46031826734542847,0.4836146831512451,0.4737522304058075,0.48257914185523987,0.4102823734283447,0.40951040387153625,0.43559882044792175,0.4082944095134735,0.864444375038147,0.8279604315757751,0.8967119455337524,0.8096123337745667,0.7062156796455383,0.8279604315757751,0.7647212147712708,0.8096123337745667,0.5633499026298523,0.646936297416687,0.6609018445014954,0.6333118677139282
